class,cell,form
strong aorist,1sg,Xa
strong aorist,2sg,Xas
strong aorist,1pl,Xamen
strong aorist,2pl,Xate
strong aorist,3pl,Xan
strong aorist,3pl,Xa:si
strong aorist,3pl,Xosan
weak aorist,2sg,Xes
weak aorist,2pl,Xete
weak aorist,3pl,Xa:si
weak aorist,3pl,Xasan
perfect,3pl,Xan
kappatic aorist,1sg,Xsa
kappatic aorist,2sg,Xkes
kappatic aorist,2sg,Xsas
kappatic aorist,3sg,Xse
kappatic aorist,1pl,Xkamen
kappatic aorist,1pl,Xsamen
kappatic aorist,2pl,Xkate
kappatic aorist,2pl,Xsate
kappatic aorist,3pl,Xkan
kappatic aorist,3pl,Xka:si